,class,time,atribute1,atribute2,atribute3,atribute4,atribute5,atribute6,atribute7,atribute8
0,4,0.29166666666666663,0.41255546854607156,0.5256410256410255,0.17132039753904402,0.11235955056179774,0.6383791136672792,0.47252747252747257,0.8664596273291925,0.841025641025641
1,4,0.30208333333333326,0.41255546854607156,0.7179487179487181,0.17132039753904402,0.2752808988764045,0.6380211440708302,0.6373626373626374,0.7298136645962732,0.6871794871794872
2,1,0.23958333333333326,0.4124249543200209,0.6282051282051282,0.16800757217226692,0.2696629213483146,0.6381166026298832,0.6263736263736264,0.717391304347826,0.6820512820512821
3,4,0.27083333333333326,0.41373009658052734,0.5,0.17132039753904402,0.24719101123595505,0.6380688733503567,0.47252747252747257,0.7080745341614907,0.7076923076923077
4,1,0.29166666666666663,0.41281649699817285,0.5384615384615385,0.17132039753904402,0.28089887640449435,0.6379734147913037,0.4835164835164836,0.6801242236024845,0.6820512820512821
5,1,0.14583333333333331,0.41255546854607156,0.5641025641025641,0.17274017983909135,0.23595505617977525,0.6380211440708302,0.6703296703296704,0.732919254658385,0.6820512820512821
6,1,0.10416666666666663,0.41255546854607156,0.7692307692307692,0.17132039753904402,0.23033707865168537,0.6379256855117771,0.8901098901098903,0.7919254658385093,0.6820512820512821
7,1,0.19791666666666663,0.41255546854607156,0.5512820512820513,0.17132039753904402,0.2584269662921348,0.6381166026298832,0.6043956043956045,0.7049689440993788,0.676923076923077
8,1,0.17708333333333331,0.41255546854607156,0.5,0.17132039753904402,0.24719101123595505,0.6377109037539078,0.5824175824175825,0.7080745341614907,0.6820512820512821
9,1,0.17708333333333331,0.4124249543200209,0.4871794871794872,0.17132039753904402,0.2528089887640449,0.6381166026298832,0.5714285714285714,0.6987577639751552,0.676923076923077
10,1,0.29166666666666663,0.41255546854607156,0.5256410256410255,0.17132039753904402,0.28089887640449435,0.6378779562322506,0.47252747252747257,0.6739130434782609,0.6820512820512821
11,4,0.30208333333333326,0.41255546854607156,0.7051282051282051,0.17132039753904402,0.2752808988764045,0.6380450087105934,0.6373626373626374,0.7298136645962732,0.6871794871794872
12,1,0.10416666666666663,0.41255546854607156,0.7692307692307692,0.17132039753904402,0.2247191011235955,0.6382597904684628,0.9010989010989012,0.8012422360248447,0.6871794871794872
13,1,0.16666666666666663,0.4121639258679196,0.5897435897435896,0.1722669190724089,0.2528089887640449,0.638450707586569,0.6703296703296704,0.7236024844720497,0.676923076923077
14,1,0.19791666666666663,0.41190289741581837,0.5641025641025641,0.17132039753904402,0.2584269662921348,0.6381166026298832,0.6153846153846154,0.7080745341614907,0.676923076923077
15,1,0.1875,0.41255546854607156,0.5256410256410255,0.17132039753904402,0.2528089887640449,0.6381166026298832,0.5934065934065935,0.7080745341614907,0.676923076923077
16,1,0.21875,0.41255546854607156,0.5897435897435896,0.17132039753904402,0.2696629213483146,0.6388325418227812,0.6153846153846154,0.7080745341614907,0.676923076923077
